Rank,Author,Score,Author_clean
2754,"Juan-Camilo Cardenas Facultad de Economía, Universidad de los Andes, Bogotá, ColombiaCentro de Estudios Sobre Desarrollo Económico (CEDE), Facultad de Economía, Universidad de los Andes, Bogotá, Colombia",982,Juan-Camilo Cardenas
2754,"W. Craig Riddell Vancouver School of Economics, University of British Columbia, Vancouver, Canada",982,W. Craig Riddell
2754,"Gordon M. Bodnar International Economics Department, School of Advanced International Studies, Johns Hopkins University, Washington, District of Columbia (USA)",982,Gordon M. Bodnar
2754,"Kenneth Frank Wallis Department of Economics, University of Warwick, Coventry, United Kingdom",982,Kenneth Frank
2758,"Nancy Qian Managerial Economics and Decision Sciences (MEDS), Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",981,Nancy Qian
2759,"Matthew T. Holt Department of Agricultural and Applied Economics, Virginia Polytechnic Institute and State University (Virginia Tech), Blacksburg, Virginia (USA)",980,Matthew T. Holt
2759,Ignatius J. Horstmann,980,Ignatius J. Horstmann
2759,Jean-Francois Mertens †,980,Jean-Francois Mertens
2762,"Benjamin F. Hobbs Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",979,Benjamin F. Hobbs
2762,"Piti Disyatat Puey Ungphakorn Institute for Economic Research (PIER), Bangkok, Thailand",979,Piti Disyatat
2762,"Ning Zhu Shanghai Advanced Institute of Finance (SAIF), Shanghai Jiao Tong University, Shanghai, China",979,Ning Zhu
2762,"Ariel Dinar Water Science and Policy Center, University of California-Riverside, Riverside, California (USA)",979,Ariel Dinar
2762,"Sergei Guriev Department of Economics, Sciences économiques, Sciences Po, Paris, France",979,Sergei Guriev
2767,Torsten Slok,978,Torsten Slok
2768,"Mario Larch Rechts- und Wirtschaftswissenschaftliche Fakultät, Universität Bayreuth, Bayreuth, Germany",977,Mario Larch
2768,"Mark Rush Economics Department, University of Florida, Gainesville, Florida (USA)",977,Mark Rush
2770,"Khalid Sekkat Centre Emile Bernheim, Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",976,Khalid Sekkat
2770,"Iwan Barankay Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",976,Iwan Barankay
2772,"Robert J. Johnston Economics Department, Clark University, Worcester, Massachusetts (USA)",975,Robert J. Johnston
2772,"Ralph Chami International Monetary Fund (IMF), Washington, District of Columbia (USA)",975,Ralph Chami
2772,"Gareth Donald Myles School of Economics, University of Adelaide, Adelaide, Australia",975,Gareth Donald
2772,"Matias Damian Cattaneo Department of Operations Research and Financial Engineering (ORFE), Princeton University, Princeton, New Jersey (USA)",975,Matias Damian
2772,William E. Taylor,975,William E. Taylor
2777,"Mukesh Eswaran Vancouver School of Economics, University of British Columbia, Vancouver, Canada",974,Mukesh Eswaran
2777,"Harry J Paarsch College of Business Administration, University of Central Florida, Orlando, Florida (USA)",974,Harry J
2777,"Claudia Kemfert DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",974,Claudia Kemfert
2777,"Yongheng Deng Department of Real Estate and Urban Land Economics, School of Business, University of Wisconsin-Madison, Madison, Wisconsin (USA)",974,Yongheng Deng
2781,"Eckhard Hein Fachbereich Wirtschaftswissenschaften, Hochschule für Wirtschaft und Recht, Berlin, Germany",973,Eckhard Hein
2782,"Joseph E. Harrington Jr.Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)",972,Joseph E. Harrington
2782,"Julie Le Gallo Centre d'Économie et Sociologie appliquées à l'Agriculture et aux Espaces Ruraux (CESAER), Département ECOSOCIO - Économie et Sciences Sociales pour l'Agriculture, l'Alimentation et l'Environnement (SAE2), Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement (INRAE), Dijon, France",972,Julie Le
2782,"Miles Corak Department of Economics, Graduate Center, City University of New York (CUNY), New York City, New York (USA)",972,Miles Corak
2782,"Eric Edmonds Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",972,Eric Edmonds
2782,"Paolo Ghirardato Collegio Carlo Alberto, Università degli Studi di Torino, Moncalieri, ItalyDipartimento di Scienze Economico-Sociali e Matematico-Statistiche, Università degli Studi di Torino, Torino, Italy",972,Paolo Ghirardato
2787,"Timo Wollmershauser ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",971,Timo Wollmershauser ifo
2787,"Todd R. Stinebrickner Department of Economics, University of Western Ontario, London, Canada",971,Todd R. Stinebrickner
2789,"Alain Jacques Chateauneuf Institut de Préparation à l'Administration et à la Gestion (IPAG), Paris, FranceParis School of Economics, Paris, France",969,Alain Jacques
2789,"Hamid Faruqee Research Department, International Monetary Fund (IMF), Washington, District of Columbia (USA)",969,Hamid Faruqee
2791,"Marc Goovaerts Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, BelgiumTinbergen Instituut, Amsterdam, Netherlands",968,Marc Goovaerts
2791,"Salvatore Di Falco Geneva School of Economics and Management, Université de Genève, Genève, Switzerland",968,Salvatore Di
2793,Alan White,967,Alan White
2794,"J. Miguel Villas-Boas Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",966,J. Miguel Villas-Boas
2794,"Stephen Roper Warwick Business School, University of Warwick, Coventry, United Kingdom",966,Stephen Roper
2794,"Susan M. Wachter Real Estate Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",966,Susan M. Wachter
2794,"Christian Keuschnigg School of Economics and Political Science, Universität St. Gallen, Sankt Gallen, SwitzerlandForschungsgemeinschaft für Nationalökonomie, School of Economics and Political Science, Universität St. Gallen, Sankt Gallen, Switzerland",966,Christian Keuschnigg School
2794,"Sarah Louise Smith School of Economics, Finance and Management, University of Bristol, Bristol, United Kingdom",966,Sarah Louise
2794,"James E. Wilen Department of Agricultural and Resource Economics, University of California-Davis, Davis, California (USA)",966,James E. Wilen
2800,"Guntram Wolff Bruegel, Bruxelles/Brussel, Belgium",965,Guntram Wolff
2800,"Frans A J Van Den Bosch Rotterdam School of Management (RSM Erasmus University), Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",965,Frans A
2802,"Dov Samet Coller School of Management, Tel Aviv University, Tel Aviv, Israel",964,Dov Samet
2802,"Derek D. Headey International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",964,Derek D. Headey
2802,"George S. Tavlas Bank of Greece, Athens, Greece",964,George S. Tavlas
2805,"Robert Noland Bloustein School of Planning and Public Policy, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",963,Robert Noland
2805,"Patrick A. Puhani Wirtschaftswissenschaftliche Fakultät, Leibniz Universität Hannover, Hannover, Germany",963,Patrick A. Puhani
2805,"Werner Antweiler Strategy and Business Economics Division, Sauder School of Business, University of British Columbia, Vancouver, Canada",963,Werner Antweiler
2808,"Hiau Looi Kee Economics Research, World Bank Group, Washington, District of Columbia (USA)",962,Hiau Looi
2809,"Anil Markandya Basque Centre for Climate Change (BC3), Bilbao, Spain",961,Anil Markandya
2809,"Jonathan Robinson Economics Department, University of California-Santa Cruz (UCSC), Santa Cruz, California (USA)",961,Jonathan Robinson
2809,Robert W. Helsley,961,Robert W. Helsley
2809,"David T. Robinson Finance Area, Fuqua School of Business, Duke University, Durham, North Carolina (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",961,David T. Robinson
2813,"Jan Marcel Leonie Dhaene Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium",960,Jan Marcel
2813,"Niels Hermes Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, NetherlandsCentre for European Research in Microfinance (CERMi), Bruxelles/Brussel, Belgium",960,Niels Hermes
2813,"Kostas Tsatsaronis Bank for International Settlements (BIS), Basel, Switzerland",960,Kostas Tsatsaronis
2813,"Stan J Liebowitz Naveen Jindal School of Management, University of Texas-Dallas, Dallas, Texas (USA)",960,Stan J
2817,"Andreas Haufler Volkswirtschaftliche Fakultät, Ludwig-Maximilians-Universität München, München, Germany",959,Andreas Haufler
2817,"Keld Laursen Institut for Strategi og Innovation, Copenhagen Business School, København, Denmark",959,Keld Laursen
2819,"Bas van der Klaauw School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",958,Bas van
2819,"Shawn Cole Finance Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",958,Shawn Cole
2819,"Hans-Martin Krolzig School of Economics, University of Kent, Canterbury, United Kingdom",958,Hans-Martin Krolzig
2819,"Shi Li College of Public Administration, Zhejiang University, Hangzhou, China",958,Shi Li
2819,"Olivier Ledoit Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",958,Olivier Ledoit
2819,"Panu Poutvaara ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",958,Panu Poutvaara ifo
2825,"Laura Bottazzi Dipartimento di Scienze Economiche, Alma Mater Studiorum - Università di Bologna, Bologna, Italy",957,Laura Bottazzi
2825,"Martin Sola Departamento de Economía, Universidad Torcuato Di Tella, Buenos Aires, Argentina",957,Martin Sola
2825,"Gylfi Zoega Hagfræðideild, Háskóla Íslands, Reykjavík, Iceland",957,Gylfi Zoega
2828,"Alok Bhargava School of Public Policy, University of Maryland, College Park, Maryland (USA)",956,Alok Bhargava
2828,"Diana Hancock Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)",956,Diana Hancock
2828,"Fengxia Dong Department of Agricultural & Applied Economics, University of Wisconsin-Madison, Madison, Wisconsin (USA)",956,Fengxia Dong
2828,"Domenico Delli Gatti Dipartimento di Economia e Finanza, Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro Cuore, Milano, Italy",956,Domenico Delli
2832,"Christian Dreger DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",955,Christian Dreger
2832,"William Alexander Darity Jr.Sanford School of Public Policy, Duke University, Durham, North Carolina (USA)Department of Economics, Duke University, Durham, North Carolina (USA)",955,William Alexander Darity
2834,"Thomas A. Mroz Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",954,Thomas A. Mroz
2835,"Winston Harrington Resources for the Future (RFF), Washington, District of Columbia (USA)",953,Winston Harrington
2835,"Leslie George Godfrey Department of Economics and Related Studies, University of York, York, United Kingdom",953,Leslie George
2835,"Bent Jesper Christensen Center for Research in Econometric Analysis of Time Series (CREATES), Institut for Økonomi, Aarhus Universitet, Aarhus, DenmarkInstitut for Økonomi, Aarhus Universitet, Aarhus, Denmark",953,Bent Jesper
2835,"Melvyn Glyn Coles Economics Department, University of Essex, Colchester, United Kingdom",953,Melvyn Glyn
2839,"Andrew J. Leone School of Business, University of Miami, Coral Gables, Florida (USA)",951,Andrew J. Leone
2839,"John Edward McLaren Department of Economics, University of Virginia, Charlottesville, Virginia (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",951,John Edward
2839,"Andrew Chesher Department of Economics, University College London (UCL), London, United Kingdom",951,Andrew Chesher
2839,Troy Davig,951,Troy Davig
2839,"Ronald Findlay Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",951,Ronald Findlay
2844,"George Filis Business School, Faculty of Management, Bournemouth University, Bournemouth, United Kingdom",950,George Filis
2844,"Sushanta K. Mallick School of Business and Management, Queen Mary University of London, London, United Kingdom",950,Sushanta K. Mallick
2844,"Gabrielle Demange Paris School of Economics, Paris, France",950,Gabrielle Demange
2847,"Javier Valles Banco de España, Madrid, Spain",949,Javier Valles
2848,"Herman J. Bierens Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",948,Herman J. Bierens
2848,Tony Lancaster,948,Tony Lancaster
2850,"Gunther Schnabl Institut für Wirtschaftspolitik, Wirtschaftswissenschafltiche Fakultät, Universität Leipzig, Leipzig, Germany",947,Gunther Schnabl
2850,"Farshid Vahid Department of Econometrics and Business Statistics, Monash Business School, Monash University, Melbourne, Australia",947,Farshid Vahid
2852,"Chor Foon Tang Centre for Policy Research and International Studies (CENPRIS), Universiti Sains Malaysia, Minden, Malaysia",946,Chor Foon
2852,"Iman Van Lelyveld de Nederlandsche Bank, Amsterdam, Netherlands",946,Iman Van
2854,"Christoph Trebesch Institut für Weltwirtschaft (IfW), Kiel, Germany",945,Christoph Trebesch
2854,"Joel L. Horowitz Department of Economics, Northwestern University, Evanston, Illinois (USA)",945,Joel L. Horowitz
2854,"Theo Stefan Eicher Department of Economics, University of Washington, Seattle, Washington (USA)",945,Theo Stefan
2857,"A. Leslie Robb Department of Economics, McMaster University, Hamilton, Canada",944,A. Leslie Robb
2857,"Daria Taglioni Poverty Reduction and Economic Management Network (PREM), World Bank Group, Washington, District of Columbia (USA)",944,Daria Taglioni
2857,"Utku Unver Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",944,Utku Unver
2857,"Andrea Ferrero Department of Economics, Oxford University, Oxford, United Kingdom",944,Andrea Ferrero
2857,"Patrick Francois Vancouver School of Economics, University of British Columbia, Vancouver, Canada",944,Patrick Francois
2857,"Harvey E. Lapan Department of Economics, Iowa State University, Ames, Iowa (USA)",944,Harvey E. Lapan
2863,"Alastair Hall School of Economics, University of Manchester, Manchester, United Kingdom",943,Alastair Hall
2863,"Nachum Sicherman Graduate School of Business, Columbia University, New York City, New York (USA)",943,Nachum Sicherman
2863,"Marco Ottaviani Dipartimento di Economia ""Ettore Bocconi"", Università Commerciale Luigi Bocconi, Milano, Italy",943,Marco Ottaviani
